Plot,Transect,Quadrat,Genera,species,Count,Notes,Digitized_order
3330,1,1,Quercus,ellipsoidalis,1,,1
3330,1,1,Gaylussacia,baccata,,,2
3330,1,1,Maianthemum,canadense,,,3
3330,1,1,Rumex,acetosella,,,4
3330,1,1,Krigia,biflora,,,5
3330,1,1,Carex,siccata,,,6
3330,1,1,Elymus ,trachycaulus,,,7
3330,1,2,Quercus,ellipsoidalis,4,,8
3330,1,2,Accer,rubrum,1,,9
3330,1,2,Maianthemum,canadense,,,10
3330,1,2,Elymus ,trachycaulus,,,11
3330,1,2,Carex,siccata,,,12
3330,1,2,Sorghastrum,nutans,,,13
3330,1,2,Polygonatum,biflora,,,14
3330,1,3,Accer,rubrum,1,,15
3330,1,3,Gaylussacia,baccata,,,16
3330,1,3,Maianthemum,canadense,,,17
3330,1,3,Carex,siccata,,,18
3330,1,4,Quercus,ellipsoidalis,5,,19
3330,1,4,Acer,rubrum,1,,20
3330,1,4,Gaylussacia,baccata,,,21
3330,1,4,Maianthemum,canadense,,,22
3330,1,4,Carex,siccata,,,23
3330,1,5,Quercus,ellipsoidalis,1,,24
3330,1,5,Vaccinium,angustifolium,,,25
3330,1,5,Maianthemum,canadense,,,26
3330,1,5,Carex,siccata,,,27
3330,1,6,Quercus,ellipsoidalis,1,,28
3330,1,6,Acer,rubrum,1,,29
3330,1,6,Maianthemum,canadense,,,30
3330,1,6,Carex,siccata,,,31
3330,1,6,Physalis ,heterophylla,,,32
3330,1,7,Quercus,ellipsoidalis,1,,33
3330,1,7,Maianthemum,canadense,,,34
3330,1,7,Carex,siccata,,,35
3330,1,8,Quercus,ellipsoidalis,4,,36
3330,1,8,Pinus,banksiana,1,,37
3330,1,8,Maianthemum,canadense,,,38
3330,1,8,Carex,siccata,,,39
3330,1,9,Quercus,ellipsoidalis,4,,40
3330,1,9,Gaylussacia,baccata,,,41
3330,1,9,Maianthemum,canadense,,,42
3330,1,9,Carex,siccata,,,43
3330,1,10,Quercus,ellipsoidalis,7,,44
3330,1,10,Gaylussacia,baccata,,,45
3330,1,10,Carex,siccata,,,46
3330,2,1,Vaccinium,angustifolium,,,47
3330,2,1,Gaylussacia,baccata,,,48
3330,2,1,Carex,siccata,,,49
3330,2,2,Vaccinium,angustifolium,,,50
3330,2,2,Gaylussacia,baccata,,,51
3330,2,3,Pinus,banksiana,3,,52
3330,2,3,Gaylussacia,baccata,,,53
3330,2,3,Carex,siccata,,,54
3330,2,4,Quercus,ellipsoidalis,5,,55
3330,2,4,Gaylussacia,baccata,,,56
3330,2,4,Maianthemum,canadense,,,57
3330,2,4,Carex,siccata,,,58
3330,2,5,Quercus,ellipsoidalis,4,,59
3330,2,5,Gaylussacia,baccata,,,60
3330,2,5,Carex,siccata,,,61
3330,2,6,Quercus,ellipsoidalis,3,,62
3330,2,6,Gaylussacia,baccata,,,63
3330,2,6,Maianthemum,canadense,,,64
3330,2,6,Carex,siccata,,,65
3330,2,7,Quercus,ellipsoidalis,3,,66
3330,2,7,Carex,siccata,,,67
3330,2,8,Quercus,ellipsoidalis,1,,68
3330,2,8,Carex,siccata,,,69
3330,2,9,Quercus,ellipsoidalis,1,,70
3330,2,9,Carex,siccata,,,71
3330,2,10,Quercus,ellipsoidalis,4,,72
3330,2,10,Carex,siccata,,,73
3330,3,1,Vaccinium,angustifolium,,,74
3330,3,1,Gaultheria,procumbens,,,75
3330,3,1,Maianthemum,canadense,,,76
3330,3,1,Carex,siccata,,,77
3330,3,2,Quercus,ellipsoidalis,2,,78
3330,3,2,Maianthemum,canadense,,,79
3330,3,2,Carex,siccata,,,80
3330,3,3,Quercus,ellipsoidalis,1,,81
3330,3,3,Viola,sagittata,,,82
3330,3,3,Aster,oolentangiensis,,,83
3330,3,4,Quercus,ellipsoidalis,1,,84
3330,3,4,Pinus,banksiana,1,,85
3330,3,4,Vaccinium,angustifolium,,,86
3330,3,4,Gaylussacia,baccata,,,87
3330,3,4,Carex,siccata,,,88
3330,3,5,Quercus,ellipsoidalis,4,,89
3330,3,5,Gaylussacia,baccata,,,90
3330,3,5,Carex,siccata,,,91
3330,3,6,Quercus,ellipsoidalis,3,,92
3330,3,6,Gaylussacia,baccata,,,93
3330,3,6,Carex,siccata,,,94
3330,3,7,Quercus,ellipsoidalis,1,,95
3330,3,7,Vaccinium,angustifolium,,,96
3330,3,7,Gaylussacia,baccata,,,97
3330,3,7,Carex,siccata,,,98
3330,3,8,Quercus,ellipsoidalis,1,,99
3330,3,8,Vaccinium,angustifolium,,,100
3330,3,8,Carex,siccata,,,101
3330,3,9,Quercus,ellipsoidalis,3,,102
3330,3,9,Carex,siccata,,,103
3330,3,10,Quercus,ellipsoidalis,4,,104
3330,3,10,Quercus,alba,1,,105
3330,3,10,Carex,siccata,,,106
3330,3,10,Rubus,allegheniensis,,,107
3330,4,1,Quercus,ellipsoidalis,2,,108
3330,4,1,Gaylussacia,baccata,,,109
3330,4,1,Carex,siccata,,,110
3330,4,2,Quercus,alba,1,,111
3330,4,2,Acer,rubrum,1,,112
3330,4,2,Vaccinium,angustifolium,,,113
3330,4,2,Gaylussacia,baccata,,,114
3330,4,2,Pteridium,aquilinum,,,115
3330,4,2,Maianthemum,canadense,,,116
3330,4,2,Carex,siccata,,,117
3330,4,2,Rubus,allegheniensis,,,118
3330,4,2,Prunus,serotina,1,,119
3330,4,3,Quercus,ellipsoidalis,11,,120
3330,4,3,Pinus,strobus,1,,121
3330,4,3,Acer,rubrum,1,,122
3330,4,3,Vaccinium,angustifolium,,,123
3330,4,3,Gaylussacia,baccata,,,124
3330,4,3,Pteridium,aquilinum,,,125
3330,4,3,Maianthemum,canadense,,,126
3330,4,3,Rubus,allegheniensis,,,127
3330,4,4,Pinus,strobus,1,,128
3330,4,4,Vaccinium,angustifolium,,,129
3330,4,4,Gaylussacia,baccata,,,130
3330,4,4,Pteridium,aquilinum,,,131
3330,4,4,Rubus ,allegheniensis,,,132
3330,4,4,Polygonatum,biflora,,,133
3330,4,5,Quercus,ellipsoidalis,2,,134
3330,4,5,Gaylussacia,baccata,,,135
3330,4,5,Pteridium,aquilinum,,,136
3330,4,5,Carex,siccata,,,137
3330,4,6,Quercus,ellipsoidalis,6,,138
3330,4,6,Vaccinium,angustifolium,,,139
3330,4,6,Carex,siccata,,,140
3330,4,7,Maianthemum,canadense,,,141
3330,4,7,Carex,siccata,,,142
3330,4,8,Maianthemum,canadense,,,143
3330,4,9,Quercus,ellipsoidalis,4,,144
3330,4,9,Pinus,banksiana,1,,145
3330,4,9,Vaccinium,angustifolium,,,146
3330,4,9,Carex,siccata,,,147
3330,4,10,Quercus,ellipsoidalis,5,,148
3330,4,10,Acer,rubrum,1,,149
3330,4,10,Carex,siccata,,,150
3330,5,1,Quercus,ellipsoidalis,6,,151
3330,5,1,Acer,rubrum,1,,152
3330,5,1,Gaylussacia,baccata,,,153
3330,5,1,Maianthemum,canadense,,,154
3330,5,1,Carex,siccata,,,155
3330,5,1,Rubus,allegheniensis,,,156
3330,5,2,Quercus,ellipsoidalis,3,,157
3330,5,2,Quercus,alba,1,,158
3330,5,2,Acer,rubrum,1,,159
3330,5,2,Vaccinium,angustifolium,,,160
3330,5,2,Gaylussacia,baccata,,,161
3330,5,2,Maianthemum,canadense,,,162
3330,5,2,Carex,siccata,,,163
3330,5,3,Quercus,ellipsoidalis,3,,164
3330,5,3,Gaylussacia,baccata,,,165
3330,5,3,Pteridium,aquilinum,,,166
3330,5,3,Carex,siccata,,,167
3330,5,3,Betula,sp,1,,168
3330,5,4,Vaccinium,angustifolium,,,169
3330,5,4,Carex,siccata,,,170
3330,5,5,Quercus,ellipsoidalis,1,,171
3330,5,5,Acer,rubrum,1,,172
3330,5,5,Pteridium,aquilinum,,,173
3330,5,5,Maianthemum,canadense,,,174
3330,5,5,Lysimachia,quadrifolia,,,175
3330,5,5,Carex,siccata,,,176
3330,5,5,Rubus,allegheniensis,,,177
3330,5,6,Pinus,strobus,1,,178
3330,5,6,Vaccinium,angustifolium,,,179
3330,5,6,Gaylussacia,baccata,,,180
3330,5,6,Pteridium,aquilinum,,,181
3330,5,6,Maianthemum,canadense,,,182
3330,5,6,Carex,siccata,,,183
3330,5,7,Quercus,ellipsoidalis,4,,184
3330,5,7,Quercus,alba,2,,185
3330,5,7,Pinus,strobus,1,,186
3330,5,7,Vaccinium,angustifolium,,,187
3330,5,7,Maianthemum,canadense,,,188
3330,5,7,Carex,siccata,,,189
3330,5,7,Ilex,verticillata,,,190
3330,5,8,Quercus,ellipsoidalis,5,,191
